species_superorder,isGaleomorphi,marine_province,date,year
Galeomorphii,1,Brazilian current coast,2003-2004,1970
Galeomorphii,1,Brazilian current coast,2003-2004,1994
Galeomorphii,1,Brazilian current coast,2003-2004,1994
Galeomorphii,1,Brazilian current coast,2003-2004,1994
Galeomorphii,1,Central American coast,1987-1998,1994
Galeomorphii,1,Central American coast,1987-1998,1994
Galeomorphii,1,Central American coast,1987-1998,1994
Galeomorphii,1,Central American coast,1987-1998,1994
Galeomorphii,1,Central American coast,1987-1998,1994
Galeomorphii,1,Central American coast,1987-1998,1994
Galeomorphii,1,Central American coast,1987-1998,1994
Galeomorphii,1,Central American coast,1987-1998,1994
Galeomorphii,1,Central American coast,1987-1998,1994
Galeomorphii,1,Central American coast,1987-1998,1994
Galeomorphii,1,Central American coast,1987-1998,1994
Galeomorphii,1,Central American coast,1992-1998,1994
Galeomorphii,1,Central American coast,1992-1998,1994
Galeomorphii,1,Central American coast,1992-1998,1994
Galeomorphii,1,Central American coast,1992-1998,1994
Galeomorphii,1,Central American coast,1992-1998,1994
Galeomorphii,1,Central American coast,1992-1998,1994
Galeomorphii,1,Central American coast,2003-2005,1994
Galeomorphii,1,Central American coast,2003-2005,1994
Galeomorphii,1,Central American coast,2003-2005,1994
Galeomorphii,1,Central American coast,2003-2005,2000
Galeomorphii,1,Central American coast,2003-2005,2000
Galeomorphii,1,Central American coast,2003-2005,2000
Galeomorphii,1,Central American coast,2003-2005,2000
Galeomorphii,1,Central American coast,2003-2005,2000
Galeomorphii,1,Central American coast,2003-2005,2000
Galeomorphii,1,Central American coast,2003-2005,2000
Galeomorphii,1,Central American coast,2003-2005,2000
Galeomorphii,1,Central American coast,2003-2005,2000
Galeomorphii,1,Central American coast,2003-2005,2000
Galeomorphii,1,Central American coast,2003-2005,2000
Galeomorphii,1,Central American coast,2003-2005,2000
Galeomorphii,1,Central American coast,2003-2005,2003
Galeomorphii,1,Central American coast,2003-2005,2003
Galeomorphii,1,Central American coast,2003-2005,2003
Galeomorphii,1,Central American coast,2003-2005,2003
Galeomorphii,1,Central American coast,2003-2005,2004
Galeomorphii,1,Central American coast,2003-2005,2004
Galeomorphii,1,Central American coast,2003-2005,2004
Galeomorphii,1,Central American coast,2003-2005,2004
Galeomorphii,1,Central American coast,2003-2005,1994
Galeomorphii,1,Central American coast,2003-2005,1994
Galeomorphii,1,Central American coast,2003-2005,1994
Galeomorphii,1,Central American coast,2003-2005,1994
Galeomorphii,1,Central American coast,2003-2005,1997
Galeomorphii,1,Central American coast,2003-2005,1997
Galeomorphii,1,Central American coast,2003-2005,1997
Galeomorphii,1,Central American coast,2003-2005,1997
Galeomorphii,1,Central American coast,2003-2005,2004
Galeomorphii,1,Central American coast,2003-2005,2004
Galeomorphii,1,Central American coast,2003-2005,2004
Galeomorphii,1,Central American coast,2003-2005,2004
Galeomorphii,1,Central American coast,2003-2005,2000
Galeomorphii,1,Central American coast,2003-2005,2000
Galeomorphii,1,Central American coast,2003-2005,2000
Galeomorphii,1,Central American coast,2003-2005,2000
Galeomorphii,1,Central American coast,2003-2005,2000
Galeomorphii,1,Central American coast,2003-2005,2000
Galeomorphii,1,Central American coast,2003-2005,2000
Galeomorphii,1,Caribbean,1993-1994,2000
Galeomorphii,1,Caribbean,1993-1994,2006
Galeomorphii,1,Caribbean,1993-1994,2006
Galeomorphii,1,Tasman Sea,2002-2004,2006
Galeomorphii,1,Tasman Sea,2002-2004,2006
Galeomorphii,1,Tasman Sea,2002-2004,2000
Galeomorphii,1,Tasman Sea,2002-2004,2003
Galeomorphii,1,Tasman Sea,2002-2004,2004
Galeomorphii,1,Tasman Sea,2002-2004,1994
Galeomorphii,1,Tasman Sea,2002-2004,1997
Galeomorphii,1,Tasman Sea,2002-2004,2004
Galeomorphii,1,Central American coast,2004-2006,1985
Galeomorphii,1,Central American coast,2004-2006,1985
Galeomorphii,1,Central American coast,2004-2006,1985
Galeomorphii,1,Central American coast,2004-2006,1985
Galeomorphii,1,Central American coast,2004-2006,1985
Galeomorphii,1,Central American coast,2004-2006,1985
Galeomorphii,1,Coastal Californian current,2000-2003,2004
Galeomorphii,1,Coastal Californian current,2000-2003,2004
Galeomorphii,1,Coastal Californian current,2000-2003,2004
Galeomorphii,1,Coastal Californian current,2000-2003,1978
Galeomorphii,1,Coastal Californian current,2000-2003,1978
Galeomorphii,1,Coastal Californian current,2000-2003,1978
Galeomorphii,1,Coastal Californian current,2000-2003,1978
Galeomorphii,1,Coastal Californian current,2000-2003,1978
Galeomorphii,1,Coastal Californian current,2000-2003,1978
Galeomorphii,1,Coastal Californian current,2000-2003,1978
Galeomorphii,1,Coastal Californian current,2000-2003,1978
Galeomorphii,1,Coastal Californian current,2000-2003,2005
Galeomorphii,1,Coastal Californian current,2000-2003,2005
